,id_left,tag_left,geometry,type_left,category_left,index_right,tag_right,id_right,category_right,type_right
1365,358954680,"{u'amenity': u'school', u'gnis:state_id': u'11', u'name': u'Assumption Elementary School', u'gnis:county_id': u'001', u'ele': u'49', u'gnis:created': u'12/18/1979', u'gnis:feature_id': u'528559', u'gnis:edited': u'01/22/2008'}","POLYGON ((-77.0044924062186 38.84156000223057, -77.0044926832706 38.84155558730831, -77.0044935123139 38.84155121488281, -77.00449488536431 38.84154692706291, -77.0044967891985 38.84154276514263, -77.00449920548142 38.84153876920352, -77.00450211094288 38.84153497772862, -77.00450547760168 38.8415314272319, -77.00450927303498 38.84152815190651, -77.0045134606907 38.84152518329562, -77.00451800023943 38.84152254998849, -77.00452284796286 38.84152027734529, -77.00452795717482 38.8415183872528, -77.00453327867086 38.84151689791359, -77.00453876120217 38.84151582367083, -77.00454435196902 38.84151517486996, -77.0045499971294 38.84151495775935, -77.00455564231744 38.84151517442987, -77.00456123316697 38.84151582279485, -77.00456671583515 38.84151689661021, -77.00457203752102 38.84151838553456, -77.00457714697386 38.84152027522873, -77.00458199498695 38.84152254749399, -77.00458653487129 38.84152518044718, -77.00459072290539 38.84152814873163, -77.00459451875615 38.8415314237611, -77.00459788586747 38.84153497399535, -77.00460079181219 38.84153876524371, -77.00460320860444 38.84154276099444, -77.0046051129691 38.84154692276626, -77.00460648656603 38.84155121047909, -77.00460731616667 38.84155558283995, -77.00460759378137 38.84155999774058, -77.00460731673648 38.8415644126631, -77.0046064877 38.84156878508939, -77.00460511465586 38.84157307291061, -77.00460321082719 38.84157723483261, -77.00460079454878 38.84158123077386, -77.00459788909068 38.84158502225118, -77.00459452243396 38.84158857275054, -77.00459072700134 38.84159184807866, -77.00458653934493 38.84159481669231, -77.00458199979414 38.84159745000208, -77.00457715206734 38.84159972264769, -77.00457204285087 38.84160161274231, -77.00456672134932 38.84160310208326, -77.00456123881173 38.84160417632733, -77.00455564803806 38.841604825129, -77.00455000287059 38.84160504223987, -77.00454435767547 38.8416048255691, -77.00453876681912 38.84160417720332, -77.00453328414464 38.84160310338665, -77.00452796245328 38.84160161446054, -77.00452285299592 38.84159972476427, -77.00451800497947 38.84159745249658, -77.00451346509304 38.84159481954075, -77.00450927705828 38.84159185125358, -77.0045054812082 38.84158857622136, -77.00450211409896 38.84158502598447, -77.00449920815758 38.84158123473369, -77.00449679136985 38.84157723898084, -77.00449488701069 38.84157307720726, -77.00449351342004 38.84156878949312, -77.00449268382624 38.84156441713148, -77.0044924062186 38.84156000223057))",Node,set([schools&university]),13326,Elementary School,4ce5464e7785a1cd78d418b9,set([schools&university]),fq
1365,358954680,"{u'amenity': u'school', u'gnis:state_id': u'11', u'name': u'Assumption Elementary School', u'gnis:county_id': u'001', u'ele': u'49', u'gnis:created': u'12/18/1979', u'gnis:feature_id': u'528559', u'gnis:edited': u'01/22/2008'}","POLYGON ((-77.0044924062186 38.84156000223057, -77.0044926832706 38.84155558730831, -77.0044935123139 38.84155121488281, -77.00449488536431 38.84154692706291, -77.0044967891985 38.84154276514263, -77.00449920548142 38.84153876920352, -77.00450211094288 38.84153497772862, -77.00450547760168 38.8415314272319, -77.00450927303498 38.84152815190651, -77.0045134606907 38.84152518329562, -77.00451800023943 38.84152254998849, -77.00452284796286 38.84152027734529, -77.00452795717482 38.8415183872528, -77.00453327867086 38.84151689791359, -77.00453876120217 38.84151582367083, -77.00454435196902 38.84151517486996, -77.0045499971294 38.84151495775935, -77.00455564231744 38.84151517442987, -77.00456123316697 38.84151582279485, -77.00456671583515 38.84151689661021, -77.00457203752102 38.84151838553456, -77.00457714697386 38.84152027522873, -77.00458199498695 38.84152254749399, -77.00458653487129 38.84152518044718, -77.00459072290539 38.84152814873163, -77.00459451875615 38.8415314237611, -77.00459788586747 38.84153497399535, -77.00460079181219 38.84153876524371, -77.00460320860444 38.84154276099444, -77.0046051129691 38.84154692276626, -77.00460648656603 38.84155121047909, -77.00460731616667 38.84155558283995, -77.00460759378137 38.84155999774058, -77.00460731673648 38.8415644126631, -77.0046064877 38.84156878508939, -77.00460511465586 38.84157307291061, -77.00460321082719 38.84157723483261, -77.00460079454878 38.84158123077386, -77.00459788909068 38.84158502225118, -77.00459452243396 38.84158857275054, -77.00459072700134 38.84159184807866, -77.00458653934493 38.84159481669231, -77.00458199979414 38.84159745000208, -77.00457715206734 38.84159972264769, -77.00457204285087 38.84160161274231, -77.00456672134932 38.84160310208326, -77.00456123881173 38.84160417632733, -77.00455564803806 38.841604825129, -77.00455000287059 38.84160504223987, -77.00454435767547 38.8416048255691, -77.00453876681912 38.84160417720332, -77.00453328414464 38.84160310338665, -77.00452796245328 38.84160161446054, -77.00452285299592 38.84159972476427, -77.00451800497947 38.84159745249658, -77.00451346509304 38.84159481954075, -77.00450927705828 38.84159185125358, -77.0045054812082 38.84158857622136, -77.00450211409896 38.84158502598447, -77.00449920815758 38.84158123473369, -77.00449679136985 38.84157723898084, -77.00449488701069 38.84157307720726, -77.00449351342004 38.84156878949312, -77.00449268382624 38.84156441713148, -77.0044924062186 38.84156000223057))",Node,set([schools&university]),13327,Elementary School,4fa2d33be4b0bfaac0f1e698,set([schools&university]),fq
4652,738189394,"{u'website': u'http://www.wmata.com/rail/station_detail.cfm?station_id=81', u'name': u""Archives-Navy Mem'l Penn Quarter Station"", u'dc-gis:dataset': u'MetroStnFullPt', u'wikipedia': u'en:Archives (WMATA station)', u'dc-gis:gis_id': u'mstn_002', u'dc-gis:addr': u'701 PENNSYLVANIA AVENUE NW, WASHINGTON, DC', u'dc-gis:pubdate': u'2007-04-05', u'operator': u'Washington Metropolitan Area Transit Authority', u'station': u'subway', u'railway': u'station', u'network': u'Washington Metro'}","POLYGON ((-77.02185636415591 38.89366501079797, -77.02185664033567 38.8936605958735, -77.02185746892025 38.8936562233633, -77.02185884192984 38.89365193537704, -77.02186074614151 38.89364777321033, -77.02186316321657 38.8936437769471, -77.02186606987721 38.8936399850735, -77.02186943813067 38.89363643410734, -77.02187323553875 38.89363315824628, -77.02187742553036 38.89363018903867, -77.0218819677536 38.89362755507953, -77.02188681846438 38.8936252817353, -77.02189193094779 38.89362339089948, -77.02189725596786 38.89362190078183, -77.02190274224182 38.89362082573297, -77.02190833693395 38.8936201761062, -77.02191398616439 38.89361995815776, -77.02191963552808 38.89362017398661, -77.02192523061866 38.8936208215142, -77.02193071755244 38.89362189450449, -77.02193604348733 38.89362338262404, -77.02194115713178 38.89362527154145, -77.02194600923862 38.89362754306546, -77.02195055307948 38.89363017532006, -77.02195474489473 38.89363314295527, -77.02195854431488 38.89363641739116, -77.02196191474945 38.89363996709316, -77.02196482373927 38.89364375787573, -77.02196724326915 38.89364775323166, -77.02196915003759 38.89365191468342, -77.02197052568133 38.89365620215404, -77.02197135695204 38.89366057435286, -77.02197163584407 38.89366498917318, -77.0219713596714 38.89366940409791, -77.02197053109363 38.8936737766089, -77.02196915809034 38.89367806459646, -77.02196725388419 38.89368222676492, -77.02196483681365 38.89368622303029, -77.02196193015638 38.89369001490631, -77.02195856190501 38.8936935658751, -77.02195476449762 38.89369684173888, -77.02195057450531 38.89369981094924, -77.02194603228001 38.89370244491101, -77.02194118156587 38.89370471825766, -77.02193606907794 38.89370660909562, -77.02193074405236 38.89370809921502, -77.02192525777211 38.89370917426516, -77.02191966307316 38.89370982389276, -77.02191401383561 38.89371004184146, -77.02190836446482 38.89370982601233, -77.02190276936742 38.89370917848396, -77.02189728242735 38.89370810549236, -77.02189195648693 38.89370661737107, -77.02188684283797 38.89370472845153, -77.02188199072775 38.89370245692511, -77.02187744688482 38.89369982466785, -77.02187325506887 38.89369685702992, -77.02186945564939 38.89369358259129, -77.0218660852169 38.89369003288665, -77.02186317623044 38.89368624210164, -77.0218607567051 38.89368224674361, -77.02185884994216 38.89367808529011, -77.02185747430471 38.89367379781817, -77.02185664304082 38.89366942561856, -77.02185636415591 38.89366501079797))",Node,set([transportation]),10224,Bus Station,4f0f5754e4b07f0a590703f7,set([transportation]),fq
4652,738189394,"{u'website': u'http://www.wmata.com/rail/station_detail.cfm?station_id=81', u'name': u""Archives-Navy Mem'l Penn Quarter Station"", u'dc-gis:dataset': u'MetroStnFullPt', u'wikipedia': u'en:Archives (WMATA station)', u'dc-gis:gis_id': u'mstn_002', u'dc-gis:addr': u'701 PENNSYLVANIA AVENUE NW, WASHINGTON, DC', u'dc-gis:pubdate': u'2007-04-05', u'operator': u'Washington Metropolitan Area Transit Authority', u'station': u'subway', u'railway': u'station', u'network': u'Washington Metro'}","POLYGON ((-77.02185636415591 38.89366501079797, -77.02185664033567 38.8936605958735, -77.02185746892025 38.8936562233633, -77.02185884192984 38.89365193537704, -77.02186074614151 38.89364777321033, -77.02186316321657 38.8936437769471, -77.02186606987721 38.8936399850735, -77.02186943813067 38.89363643410734, -77.02187323553875 38.89363315824628, -77.02187742553036 38.89363018903867, -77.0218819677536 38.89362755507953, -77.02188681846438 38.8936252817353, -77.02189193094779 38.89362339089948, -77.02189725596786 38.89362190078183, -77.02190274224182 38.89362082573297, -77.02190833693395 38.8936201761062, -77.02191398616439 38.89361995815776, -77.02191963552808 38.89362017398661, -77.02192523061866 38.8936208215142, -77.02193071755244 38.89362189450449, -77.02193604348733 38.89362338262404, -77.02194115713178 38.89362527154145, -77.02194600923862 38.89362754306546, -77.02195055307948 38.89363017532006, -77.02195474489473 38.89363314295527, -77.02195854431488 38.89363641739116, -77.02196191474945 38.89363996709316, -77.02196482373927 38.89364375787573, -77.02196724326915 38.89364775323166, -77.02196915003759 38.89365191468342, -77.02197052568133 38.89365620215404, -77.02197135695204 38.89366057435286, -77.02197163584407 38.89366498917318, -77.0219713596714 38.89366940409791, -77.02197053109363 38.8936737766089, -77.02196915809034 38.89367806459646, -77.02196725388419 38.89368222676492, -77.02196483681365 38.89368622303029, -77.02196193015638 38.89369001490631, -77.02195856190501 38.8936935658751, -77.02195476449762 38.89369684173888, -77.02195057450531 38.89369981094924, -77.02194603228001 38.89370244491101, -77.02194118156587 38.89370471825766, -77.02193606907794 38.89370660909562, -77.02193074405236 38.89370809921502, -77.02192525777211 38.89370917426516, -77.02191966307316 38.89370982389276, -77.02191401383561 38.89371004184146, -77.02190836446482 38.89370982601233, -77.02190276936742 38.89370917848396, -77.02189728242735 38.89370810549236, -77.02189195648693 38.89370661737107, -77.02188684283797 38.89370472845153, -77.02188199072775 38.89370245692511, -77.02187744688482 38.89369982466785, -77.02187325506887 38.89369685702992, -77.02186945564939 38.89369358259129, -77.0218660852169 38.89369003288665, -77.02186317623044 38.89368624210164, -77.0218607567051 38.89368224674361, -77.02185884994216 38.89367808529011, -77.02185747430471 38.89367379781817, -77.02185664304082 38.89366942561856, -77.02185636415591 38.89366501079797))",Node,set([transportation]),10229,Bus Stop,4b68b0fdf964a52064872be3,set([transportation]),fq
1574,358956183,"{u'gnis:state_id': u'11', u'name': u'Bishop Asbury Statue', u'gnis:county_id': u'001', u'ele': u'60', u'gnis:created': u'04/01/1991', u'gnis:feature_id': u'529495', u'artwork_type': u'statue', u'tourism': u'artwork'}","POLYGON ((-77.03665553665194 38.92769651809979, -77.03665581204722 38.92769210316778, -77.03665664011977 38.92768773057981, -77.03665801289468 38.92768344244625, -77.03665991715128 38.9276792800642, -77.03666233455049 38.92767528351959, -77.03666524181134 38.92767149130133, -77.03666861093528 38.92766793993052, -77.03667240947577 38.92766466360875, -77.03667660085078 38.92766169388878, -77.0366811446951 38.92765905937056, -77.03668599724904 38.92765678542592, -77.0366911117799 38.92765489395417, -77.03669643903203 38.92765340317114, -77.03670192770115 38.92765232743393, -77.03670752492846 38.9276516771024, -77.03671317680973 38.9276514584396, -77.03671882891432 38.92765167355139, -77.03672442680949 38.92765232036611, -77.03672991658455 38.9276533926546, -77.03673524537004 38.92765488009015, -77.03674036184697 38.92765676834797, -77.03674521674087 38.92765903924313, -77.03674976329654 38.92766167090571, -77.03675395772821 38.9276646379914, -77.03675775964118 38.92766791192558, -77.03676113242098 38.9276714611785, -77.03676404358583 38.92767525156897, -77.0367664650996 38.92767924659349, -77.03676837364172 38.92768340777781, -77.0367697508318 38.92768769504749, -77.03677058340665 38.9276920671138, -77.03677086334803 38.92769648187133, -77.03677058795984 38.92770089680359, -77.03676975989413 38.92770526939237, -77.03676838712552 38.92770955752721, -77.03676648287444 38.92771371991101, -77.03676406547977 38.92771771645776, -77.03676115822229 38.92772150867844, -77.03675778910043 38.92772506005187, -77.03675399056064 38.92772833637638, -77.03674979918493 38.9277313060991, -77.03674525533855 38.92773394061995, -77.03674040278125 38.92773621456701, -77.03673528824585 38.9277381060409, -77.03672996098823 38.92773959682567, -77.0367244723128 38.92774067256418, -77.03671887507865 38.92774132289651, -77.03671322319029 38.92774154155958, -77.03670757107859 38.92774132644752, -77.03670197317658 38.92774067963202, -77.03669648339522 38.92773960734223, -77.0366911546042 38.92773811990494, -77.03668603812275 38.92773623164499, -77.03668118322548 38.9277339607474, -77.03667663666772 38.92773132908219, -77.03667244223536 38.92772836199377, -77.03666864032307 38.92772508805686, -77.03666526754535 38.92772153880129, -77.03666235638384 38.9277177484084, -77.03665993487461 38.92771375338175, -77.036658026338 38.92770959219566, -77.03665664915422 38.92770530492469, -77.03665581658621 38.92770093285758, -77.03665553665194 38.92769651809979))",Node,set([outdoors and recreation]),14306,Park,506fb3c2e4b0285db2ae500e,set([outdoors and recreation]),fq
1574,358956183,"{u'gnis:state_id': u'11', u'name': u'Bishop Asbury Statue', u'gnis:county_id': u'001', u'ele': u'60', u'gnis:created': u'04/01/1991', u'gnis:feature_id': u'529495', u'artwork_type': u'statue', u'tourism': u'artwork'}","POLYGON ((-77.03665553665194 38.92769651809979, -77.03665581204722 38.92769210316778, -77.03665664011977 38.92768773057981, -77.03665801289468 38.92768344244625, -77.03665991715128 38.9276792800642, -77.03666233455049 38.92767528351959, -77.03666524181134 38.92767149130133, -77.03666861093528 38.92766793993052, -77.03667240947577 38.92766466360875, -77.03667660085078 38.92766169388878, -77.0366811446951 38.92765905937056, -77.03668599724904 38.92765678542592, -77.0366911117799 38.92765489395417, -77.03669643903203 38.92765340317114, -77.03670192770115 38.92765232743393, -77.03670752492846 38.9276516771024, -77.03671317680973 38.9276514584396, -77.03671882891432 38.92765167355139, -77.03672442680949 38.92765232036611, -77.03672991658455 38.9276533926546, -77.03673524537004 38.92765488009015, -77.03674036184697 38.92765676834797, -77.03674521674087 38.92765903924313, -77.03674976329654 38.92766167090571, -77.03675395772821 38.9276646379914, -77.03675775964118 38.92766791192558, -77.03676113242098 38.9276714611785, -77.03676404358583 38.92767525156897, -77.0367664650996 38.92767924659349, -77.03676837364172 38.92768340777781, -77.0367697508318 38.92768769504749, -77.03677058340665 38.9276920671138, -77.03677086334803 38.92769648187133, -77.03677058795984 38.92770089680359, -77.03676975989413 38.92770526939237, -77.03676838712552 38.92770955752721, -77.03676648287444 38.92771371991101, -77.03676406547977 38.92771771645776, -77.03676115822229 38.92772150867844, -77.03675778910043 38.92772506005187, -77.03675399056064 38.92772833637638, -77.03674979918493 38.9277313060991, -77.03674525533855 38.92773394061995, -77.03674040278125 38.92773621456701, -77.03673528824585 38.9277381060409, -77.03672996098823 38.92773959682567, -77.0367244723128 38.92774067256418, -77.03671887507865 38.92774132289651, -77.03671322319029 38.92774154155958, -77.03670757107859 38.92774132644752, -77.03670197317658 38.92774067963202, -77.03669648339522 38.92773960734223, -77.0366911546042 38.92773811990494, -77.03668603812275 38.92773623164499, -77.03668118322548 38.9277339607474, -77.03667663666772 38.92773132908219, -77.03667244223536 38.92772836199377, -77.03666864032307 38.92772508805686, -77.03666526754535 38.92772153880129, -77.03666235638384 38.9277177484084, -77.03665993487461 38.92771375338175, -77.036658026338 38.92770959219566, -77.03665664915422 38.92770530492469, -77.03665581658621 38.92770093285758, -77.03665553665194 38.92769651809979))",Node,set([outdoors and recreation]),14279,Park,4bc391e374a9a59345bdd4f6,set([outdoors and recreation]),fq
1726,358958010,"{u'gnis:state_id': u'11', u'name': u'Lieutenant General George Washington Statue', u'gnis:county_id': u'001', u'ele': u'20', u'gnis:created': u'07/01/1991', u'gnis:feature_id': u'530345', u'artwork_type': u'statue', u'tourism': u'artwork'}","POLYGON ((-77.05004885700356 38.90252572470813, -77.05004913147272 38.90252130972422, -77.05004995843204 38.90251693702116, -77.05005132991738 38.90251264871053, -77.05005323272049 38.90250848609102, -77.05005564851625 38.90250448925096, -77.05005855403915 38.90250069668202, -77.05006192130739 38.90249714490872, -77.0500657178923 38.90249386813653, -77.05006990723067 38.90249089792251, -77.05007444897689 38.9024882628714, -77.0500792993915 38.90248598836018, -77.05008441176241 38.90248409629358, -77.05008973685474 38.90248260489317, -77.05009522338506 38.90248152852199, -77.05010081851512 38.902480877546, -77.05010646836089 38.9024806582345, -77.05011211851137 38.90248087269954, -77.0501177145526 38.90248151887572, -77.05012320259176 38.90248259054003, -77.05012852977613 38.90248407737176, -77.05013364480207 38.90248596505192, -77.05013849840918 38.90248823540119, -77.05014304385459 38.90249086655486, -77.05014723736323 38.90249383317357, -77.0501510385493 38.90249710668715, -77.05015441080532 38.90250065556992, -77.05015732165457 38.90250444564426, -77.05015974306396 38.9025084404097, -77.05016165171388 38.90251260139451, -77.05016302922294 38.90251688852614, -77.05016386232491 38.90252126051719, -77.05016414299642 38.90252567526302, -77.05016386853437 38.9025300902472, -77.05016304158185 38.90253446295104, -77.05016167010281 38.902538751263, -77.05015976730523 38.90254291388423, -77.050157351514 38.90254691072645, -77.05015444599447 38.90255070329779, -77.05015107872831 38.90255425507371, -77.05014728214412 38.90255753184865, -77.05014309280506 38.90256050206541, -77.05013855105676 38.90256313711915, -77.05013370063878 38.90256541163279, -77.05012858826336 38.90256730370154, -77.05012326316552 38.90256879510368, -77.05011777662892 38.90256987147617, -77.05011218149203 38.90257052245296, -77.05010653163916 38.90257074176473, -77.05010088148158 38.90257052729943, -77.05009528543353 38.90256988112245, -77.05008979738805 38.90256880945685, -77.05008447019817 38.90256732262337, -77.0500793551677 38.90256543494107, -77.05007450155722 38.90256316458938, -77.05006995610972 38.90256053343308, -77.05006576260038 38.90255756681164, -77.050061961415 38.90255429329532, -77.05005858916104 38.90255074440992, -77.05005567831515 38.90254695433315, -77.05005325691029 38.90254295956556, -77.05005134826587 38.90253879857903, -77.0500499707631 38.9025345114461, -77.05004913766797 38.90253013945424, -77.05004885700356 38.90252572470813))",Node,set([outdoors and recreation]),2849,Park,4b9978aef964a520c47c35e3,set([outdoors and recreation]),fq
1726,358958010,"{u'gnis:state_id': u'11', u'name': u'Lieutenant General George Washington Statue', u'gnis:county_id': u'001', u'ele': u'20', u'gnis:created': u'07/01/1991', u'gnis:feature_id': u'530345', u'artwork_type': u'statue', u'tourism': u'artwork'}","POLYGON ((-77.05004885700356 38.90252572470813, -77.05004913147272 38.90252130972422, -77.05004995843204 38.90251693702116, -77.05005132991738 38.90251264871053, -77.05005323272049 38.90250848609102, -77.05005564851625 38.90250448925096, -77.05005855403915 38.90250069668202, -77.05006192130739 38.90249714490872, -77.0500657178923 38.90249386813653, -77.05006990723067 38.90249089792251, -77.05007444897689 38.9024882628714, -77.0500792993915 38.90248598836018, -77.05008441176241 38.90248409629358, -77.05008973685474 38.90248260489317, -77.05009522338506 38.90248152852199, -77.05010081851512 38.902480877546, -77.05010646836089 38.9024806582345, -77.05011211851137 38.90248087269954, -77.0501177145526 38.90248151887572, -77.05012320259176 38.90248259054003, -77.05012852977613 38.90248407737176, -77.05013364480207 38.90248596505192, -77.05013849840918 38.90248823540119, -77.05014304385459 38.90249086655486, -77.05014723736323 38.90249383317357, -77.0501510385493 38.90249710668715, -77.05015441080532 38.90250065556992, -77.05015732165457 38.90250444564426, -77.05015974306396 38.9025084404097, -77.05016165171388 38.90251260139451, -77.05016302922294 38.90251688852614, -77.05016386232491 38.90252126051719, -77.05016414299642 38.90252567526302, -77.05016386853437 38.9025300902472, -77.05016304158185 38.90253446295104, -77.05016167010281 38.902538751263, -77.05015976730523 38.90254291388423, -77.050157351514 38.90254691072645, -77.05015444599447 38.90255070329779, -77.05015107872831 38.90255425507371, -77.05014728214412 38.90255753184865, -77.05014309280506 38.90256050206541, -77.05013855105676 38.90256313711915, -77.05013370063878 38.90256541163279, -77.05012858826336 38.90256730370154, -77.05012326316552 38.90256879510368, -77.05011777662892 38.90256987147617, -77.05011218149203 38.90257052245296, -77.05010653163916 38.90257074176473, -77.05010088148158 38.90257052729943, -77.05009528543353 38.90256988112245, -77.05008979738805 38.90256880945685, -77.05008447019817 38.90256732262337, -77.0500793551677 38.90256543494107, -77.05007450155722 38.90256316458938, -77.05006995610972 38.90256053343308, -77.05006576260038 38.90255756681164, -77.050061961415 38.90255429329532, -77.05005858916104 38.90255074440992, -77.05005567831515 38.90254695433315, -77.05005325691029 38.90254295956556, -77.05005134826587 38.90253879857903, -77.0500499707631 38.9025345114461, -77.05004913766797 38.90253013945424, -77.05004885700356 38.90252572470813))",Node,set([outdoors and recreation]),2860,Sculpture Garden,4ffd0a44e0e29016dc64d56e,set([outdoors and recreation]),fq
2491,358961565,"{u'addr:housenumber': u'416', u'amenity': u'post_office', u'gnis:state_id': u'11', u'name': u'LeDroit Park Post Office', u'opening_hours': u'Mo 09:00-12:00; Tu-Fr 09:00-13:00,14:00-17:00; Sa-Su off', u'gnis:county_id': u'001', u'ele': u'26', u'gnis:created': u'06/27/2008', u'gnis:feature_id': u'2459371', u'addr:street': u'Florida Avenue NW'}","POLYGON ((-77.0175431474764 38.91430400866978, -77.01754342400309 38.91429959377197, -77.01754425309188 38.91429522130864, -77.01754562675812 38.91429093338903, -77.01754753177255 38.91428677130812, -77.01754994978874 38.91428277514901, -77.01755285751985 38.91427898339686, -77.01755622696277 38.91427543256828, -77.01756002566786 38.91427215685964, -77.01756421705156 38.91426918781779, -77.01756876074853 38.91426655403617, -77.01757361300054 38.9142642808795, -77.01757872707775 38.9142623902395, -77.01758405372891 38.91426090032401, -77.01758954165553 38.91425982548174, -77.01759513800594 38.91425917606396, -77.01760078888437 38.91425895832492, -77.01760643986984 38.91425917436155, -77.01761203654039 38.91425982209333, -77.01761752499709 38.91426089528222, -77.01762285238323 38.91426238359288, -77.01762796739324 38.91426427269209, -77.01763282076684 38.91426654438677, -77.01763736576342 38.91426917679939, -77.01764155861224 38.91427214457831, -77.01764535893386 38.9142754191423, -77.01764873012911 38.91427896895553, -77.01765163973148 38.91428275983142, -77.0176540597199 38.91428675526178, -77.01765596678847 38.91429091676849, -77.017657342571 38.91429520427393, -77.01765817381785 38.91429957648715, -77.01765845252359 38.91430399130135, -77.01765817600402 38.91430840619944, -77.01765734692205 38.91431277866357, -77.01765597326209 38.91431706658445, -77.01765406825319 38.91432122866711, -77.01765165024152 38.91432522482835, -77.01764874251379 38.91432901658293, -77.01764537307295 38.91433256741414, -77.01764157436855 38.91433584312553, -77.01763738298415 38.91433881217012, -77.01763283928511 38.91434144595437, -77.01762798702977 38.91434371911346, -77.01762287294801 38.91434560975559, -77.01761754629133 38.91434709967281, -77.01761205835844 38.91434817451639, -77.01760646200118 38.91434882393497, -77.01760081111566 38.91434904167429, -77.01759516012308 38.91434882563738, -77.01758956344571 38.91434817790481, -77.01758407498271 38.91434710471462, -77.01757874759105 38.91434561640221, -77.0175736325765 38.91434372730089, -77.01756877919954 38.91434145560376, -77.01756423420088 38.91433882318854, -77.01756004135136 38.91433585540688, -77.01755624103043 38.91433258084013, -77.01755286983726 38.91432903102427, -77.01754996023823 38.91432524014596, -77.01754754025436 38.91432124471344, -77.01754563319129 38.91431708320503, -77.01754425741507 38.91431279569827, -77.01754342617502 38.91430842348425, -77.0175431474764 38.91430400866978))",Node,set([professional service]),17867,Post Office,52a8c6ef498e8085ca099555,set([professional service]),fq
8686,2968037173,"{u'operator': u'U.S. Posal Service', u'amenity': u'post_box', u'name': u'Mailbox'}","POLYGON ((-77.01750384751696 38.9142538086504, -77.01750412404589 38.91424939375262, -77.01750495313651 38.91424502128953, -77.01750632680415 38.91424073337036, -77.01750823181952 38.91423657129005, -77.01751064983624 38.91423257513172, -77.01751355756737 38.91422878338052, -77.01751692700987 38.91422523255304, -77.01752072571411 38.91422195684564, -77.0175249170965 38.91421898780518, -77.01752946079171 38.91421635402506, -77.01753431304154 38.91421408087, -77.01753942711621 38.9142121902317, -77.01754475376444 38.91421070031799, -77.01755024168779 38.91420962547754, -77.01755583803463 38.91420897606165, -77.01756148890918 38.91420875832451, -77.01756713989056 38.91420897436304, -77.0175727365568 38.9142096220967, -77.01757822500906 38.91421069528745, -77.01758355239063 38.91421218359994, -77.017588667396 38.91421407270087, -77.01759352076493 38.91421634439722, -77.01759806575687 38.91421897681136, -77.01760225860109 38.91422194459174, -77.01760605891825 38.91422521915703, -77.01760943010915 38.91422876897143, -77.0176123397074 38.91423255984832, -77.01761475969191 38.91423655527954, -77.01761666675684 38.91424071678691, -77.01761804253604 38.91424500429288, -77.01761887377991 38.91424937650641, -77.01761915248301 38.91425379132074, -77.01761887596119 38.91425820621879, -77.0176180468774 38.91426257868267, -77.01761667321605 38.91426686660315, -77.0176147682062 38.91427102868519, -77.01761235019403 38.91427502484567, -77.01760944246624 38.91427881659929, -77.01760607302583 38.9142823674294, -77.01760227432229 38.91428564313953, -77.0175980829392 38.91428861218274, -77.01759353924192 38.9142912459655, -77.01758868698873 38.91429351912296, -77.01758357290954 38.9142954097634, -77.0175782462558 38.91429689967885, -77.01757275832615 38.91429797452059, -77.01756716197248 38.9142986239373, -77.01756151109082 38.91429884167471, -77.01755586010235 38.9142986256359, -77.01755026342926 38.91429797790144, -77.01754477497072 38.9142969047094, -77.01753944758362 38.91429541639518, -77.01753433257372 38.91429352729212, -77.01752947920143 38.91429125559334, -77.01752493420742 38.91428862317655, -77.01752074136249 38.91428565539346, -77.01751694104604 38.91428238082541, -77.01751356985719 38.91427883100839, -77.0175106602623 38.91427504012905, -77.01750824028233 38.9142710446957, -77.01750633322291 38.9142668831866, -77.01750495745 38.91426259567934, -77.01750412621297 38.91425822346499, -77.01750384751696 38.9142538086504))",Node,set([professional service]),17867,Post Office,52a8c6ef498e8085ca099555,set([professional service]),fq
